name,id,catalog
Eridanus,Eridanus,constellation
Fornax,Fornax,constellation
Gemini,Gemini,constellation
Grus,Grus,constellation
Hercules,Hercules,constellation
Horologium,Horologium,constellation
Hydra,Hydra,constellation
Hydrus,Hydrus,constellation
Lacerta,Lacerta,constellation
Leo Minor,Leo Minor,constellation
Lepus,Lepus,constellation
Libra,Libra,constellation
Lupus,Lupus,constellation
Lynx,Lynx,constellation
Lyra,Lyra,constellation
Microscopium,Microscopium,constellation
Monoceros,Monoceros,constellation
Musca,Musca,constellation
Ophiuchus,Ophiuchus,constellation
Orion,Orion,constellation
Pavo,Pavo,constellation
Pegasus,Pegasus,constellation
Perseus,Perseus,constellation
Pisces,Pisces,constellation
Piscis Austrinus,Piscis Austrinus,constellation
Puppis,Puppis,constellation
Pyxis,Pyxis,constellation
Sagitta,Sagitta,constellation
Sagittarius,Sagittarius,constellation
Scorpius,Scorpius,constellation
Scutum,Scutum,constellation
Serpens,Serpens,constellation
Sextans,Sextans,constellation
Taurus,Taurus,constellation
Telescopium,Telescopium,constellation
Triangulum Australe,Triangulum Australe,constellation
Tucana,Tucana,constellation
Ursa Major,Ursa Major,constellation
Ursa Minor,Ursa Minor,constellation
Vulpecula,Vulpecula,constellation
Volans,Volans,constellation
International Space Station,International Space Station,named
ISS,International Space Station,named
Galactic Center,Galactic Centre,named
Galactic Centre,Galactic Centre,named
Sagittarius A*,Galactic Centre,named
Sgr A*,Galactic Centre,named
Eros,433 Eros,solar
433 Eros,433 Eros,solar
Bennu,Bennu,solar
Ryugu,Ryugu,solar
Itokawa,Itokawa,solar
Pallas,Pallas,solar
Juno,Juno,solar
Psyche,Psyche,solar
Dimorphos,Dimorphos,solar
Didymos,Didymos,solar
Arrokoth,Arrokoth,solar
Oumuamua,Oumuamua,solar
'Oumuamua,Oumuamua,solar
Comet Ikeya-Zhang,Comet Ikeya-Zhang,comet
Comet Pons-Brooks,Comet Pons-Brooks,comet
Comet Lulin,Comet Lulin,comet
Comet Nishimura,Comet Nishimura,comet
Comet Pojmanski,Comet Pojmanski,comet
Comet Borrelly,Comet Borrelly,comet
Comet Encke,Comet Encke,comet
Comet Hartley,Comet Hartley,comet
Comet Garradd,Comet Garradd,comet
